article_id,firm,tickers,shock_type,shock_magnitude,shock_direction
105,CaixaBank SA,CABK.MC,financial,minor,positive
105,Banco Bilbao Vizcaya Argentaria SA,BBVA.MC,financial,minor,positive
105,Banco Santander SA,SAN.MC,financial,minor,positive
106,Naturgy Energy Group SA,NTGY.MC,demand,major,negative
107,Ferrovial SA,FER.MC,financial,minor,positive
108,Cellnex,CLNX.MC,financial,major,positive
109,Cellnex Telecom S.A.,CLNX.MC,financial,major,positive
110,Bankinter,BKT.MC,financial,major,negative
111,Repsol,REP.MC,supply,major,negative
112,Bankia,BKIA.MC,financial,minor,positive
113,Cellnex,CLNX.MC,financial,minor,positive
114,Cellnex,CLNX.MC,financial,major,positive
115,Bankinter SA,BKT.MC,financial,minor,negative
116,Repsol S.A.,REP.MC,supply,minor,negative
117,Siemens Gamesa Renewable Energy S.A.,SGRE.MC,technology,minor,positive
118,Repsol S.A.,REP.MC,financial,minor,positive
119,Naturgy,NTGY.MC,financial,minor,positive
120,Repsol,REP.MC,financial,minor,positive
121,Repsol SA,REP.MC,financial,minor,positive
122,Repsol S.A.,REP.MC,policy,minor,positive
123,Bankinter SA,BKT.MC,financial,major,negative
124,Iberdrola,IBE.MC,financial,minor,negative
125,Cellnex,CLNX.MC,financial,minor,positive
126,Repsol SA,REP.MC,supply,major,negative
127,Telefónica S.A.,TEF.MC,technology,minor,positive
128,Cellnex Telecom S.A.,CLNX.MC,financial,minor,negative
129,Telefónica S.A.,TEF.MC,financial,minor,positive
130,Iberdrola,IBE.MC,financial,minor,positive
131,Cellnex Telecom SA,CLNX.MC,financial,minor,positive
132,Cellnex,CLNC.MC,supply,minor,negative
133,Cellnex,CLNX.MC,financial,minor,positive
134,Bankinter,BKT.MC,financial,minor,positive
135,Telefónica,TEF.MC,demand,minor,negative
136,Siemens Gamesa Renewable Energy S.A.,SGRE.MC,demand,minor,positive
137,Cellnex,CLNX.MC,financial,minor,positive
138,Repsol SA,REP.MC,demand,minor,positive
139,Repsol S.A.,REP.MC,financial,minor,negative
140,Naturgy,NTGY.MC,supply,minor,negative
141,IAG,ICAG.MC,financial,minor,positive
143,Ferrovial SA,FER.MC,demand,minor,positive
144,IAG.MC,IAG.MC,financial,minor,positive
145,Telefónica,TEF.MC,demand,minor,negative
146,Cellnex,CLNX.MC,financial,major,positive
147,Iberdrola,IBE.MC,demand,minor,positive
148,IAG,IAG.MC,financial,minor,positive
148,Meliá Hotels,MEL.MC,demand,major,negative
149,Meliá Hotels,MEL.MC,demand,minor,negative
150,Banco Santander SA,SAN.MC,financial,minor,positive
151,ACS,ACS.MC,financial,minor,negative
152,Telefónica,TEF.MC,financial,major,positive
153,Bankia,BKIA.MC,financial,major,negative
154,Enagás,ENG.MC,financial,minor,positive
155,Endesa,ELE.MC,financial,minor,positive
156,Enagás,ENG.MC,financial,minor,positive
157,Endesa,ELE.MC,demand,minor,positive
158,Enagás SA,ENG.MC,financial,minor,positive
159,Bankia SA,BKIA.MC,financial,major,negative
160,Bankia,BKIA.MC,financial,minor,positive
161,Telefónica,TEF.MC,demand,minor,positive
162,Telefónica,TEF.MC,financial,minor,positive
163,Endesa SA (ELE.MC),ELE.MC,financial,major,positive
164,Bankia SA,BKIA.MC,financial,major,negative
165,Meliá Hotels International SA,MEL.MC,demand,major,negative
166,Grifols SA,GRF.MC,financial,minor,positive
167,Aena SME SA,AENA.MC,demand,major,negative
168,Santander,SAN.MC,financial,major,negative
169,Red Eléctrica,REE.MC,demand,minor,negative
170,Banco Santander SA,SAN.MC,financial,major,negative
171,Aena,AENA.MC,financial,minor,positive
172,Banco Santander,SAN.MC,financial,major,negative
173,Red Eléctrica,REE.MC,policy,minor,positive
174,ACS.MC,ACS.MC,financial,minor,positive
175,Cellnex,CLNX.MC,financial,major,positive
176,Banco Santander,SAN.MC,financial,major,negative
177,Aena,AENA.MC,demand,minor,negative
178,Aena,AENA.MC,financial,minor,positive
179,Red Eléctrica Corp SA (REE.MC),REE.MC,supply,minor,negative
180,Banco Santander SA (SAN.MC),SAN.MC,financial,major,negative
181,Bankia,BKIA.MC,financial,minor,positive
182,Iberdrola,IBE.MC,technology,major,positive
183,Iberdrola,IBE.MC,supply,major,positive
184,Banco Santander SA,SAN.MC,financial,major,negative
185,Telefónica SA,TEF.MC,supply,major,negative
186,Banco Santander,SAN.MC,financial,major,negative
187,Colonial Socimi SA,COL.MC,financial,minor,negative
188,BBVA,BBVA.MC,financial,major,negative
189,Telefónica,TEF.MC,financial,major,negative
190,Merlin Properties Socimi SA,MRL.MC,financial,minor,negative
191,Telefónica,TEF.MC,financial,major,positive
192,Masmovil Ibercom S.A.,MAS.MC,financial,major,positive
193,Siemens Gamesa,SGRE.MC,supply,major,negative
194,Acciona SA,ANA.MC,financial,major,negative
195,Banco Bilbao Vizcaya Argentaria SA (BBVA.MC),BBVA.MC,financial,major,negative
196,Sacyr,SCYR.MC,supply,minor,negative
196,Repsol,REP.MC,supply,minor,negative
197,Telefónica SA (TEF.MC),TEF.MC,demand,major,negative
198,Colonial,COL.MC,financial,minor,positive
199,BBVA,BBVA.MC,financial,minor,negative
200,Siemens Gamesa,SGRE.MC,supply,major,negative
201,Aena,AENA.MC,demand,minor,positive
202,Telefónica,TEF.MC,demand,minor,negative
203,Acciona SA,ANA.MC,financial,major,negative
204,Siemens Gamesa,SGRE.MC,supply,minor,negative
205,Siemens Gamesa Renewable Energy S.A.,SGRE.MC,supply,major,negative
206,BBVA,BBVA.MC,financial,major,negative
207,Sacyr SA,SCYR.MC,financial,minor,negative
207,Repsol SA,REP.MC,financial,minor,negative
209,Ferrovial,FER.MC,supply,major,negative
210,Ferrovial SA (FER.MC),FER.MC,demand,major,negative
211,CaixaBank,CABK.MC,financial,minor,negative
212,Banco Sabadell SA,SAB.MC,financial,major,negative
213,Másmóvil Ibercom S.A.,MAS.MC,financial,major,positive
214,CaixaBank,CABK.MC,financial,minor,positive
215,Ferrovial,FER.MC,financial,minor,positive
216,Másmóvil,MAS.MC,demand,minor,positive
216,Bankinter,BKT.MC,financial,minor,positive
217,IAG,IAG.MC,financial,major,negative
218,IAG,IAG.MC,financial,major,negative
219,CaixaBank SA,CABK.MC,financial,major,negative
220,Telefónica,TEF.MC,financial,minor,negative
221,BBVA,BBVA.MC,financial,minor,negative
222,Ferrovial,FER.MC,demand,minor,negative
223,Siemens Gamesa,SGRE.MC,supply,minor,positive
224,Banco Santander,SAN.MC,financial,minor,negative
225,Ferrovial S.A.,FER.MC,demand,minor,positive
226,IAG,IAG.MC,demand,minor,negative
227,Banco Sabadell SA,SAB.MC,financial,major,negative
228,Acciona SA,ANA.MC,financial,minor,positive
229,Endesa,ELE.MC,supply,minor,negative
230,Cellnex,CLNX.MC,financial,major,positive
231,Red Eléctrica,REE.MC,financial,minor,positive
232,CaixaBank,CABK.MC,financial,minor,positive
233,Acciona,ANA.MC,demand,major,positive
234,Acciona SA,ANA.MC,financial,minor,positive
235,BBVA.MC,BBVA.MC,financial,minor,positive
236,Cellnex Telecom S.A.,CLNX.MC,financial,minor,positive
237,Merlin Properties,MRL.MC,financial,minor,positive
238,Merlin Properties,MRL.MC,financial,minor,positive
239,Telefónica,TEF.MC,financial,minor,negative
240,Enagás,ENG.MC,financial,minor,positive
241,Red Eléctrica Corp,REE.MC,demand,minor,negative
242,Banco Bilbao Vizcaya Argentaria SA,BBVA.MC,financial,minor,negative
242,Liberbank SA,LBK.MC,financial,minor,negative
242,Banco Santander SA,SAN.MC,financial,minor,negative
242,CaixaBank SA,CABK.MC,financial,minor,negative
242,Bankia SA,BKIA.MC,financial,minor,negative
242,Banco de Sabadell SA,SAB.MC,financial,minor,negative
243,IAG,IAG.MC,financial,minor,negative
244,IAG (IAG.MC),IAG.MC,demand,minor,positive
245,Siemens Gamesa Renewable Energy S.A.,SGRE.MC,financial,major,negative
246,Iberdrola,IBE.MC,financial,minor,positive
247,Sabadell,SAB.MC,financial,minor,negative
248,Siemens Gamesa Renewable Energy S.A.,SGRE.MC,supply,minor,negative
249,Merlin Properties,MRL.MC,demand,minor,positive
250,Telefónica S.A.,TEF.MC,financial,minor,positive
251,Telefónica SA,TEF.MC,supply,major,negative
252,Iberdrola,IBE.MC,financial,minor,positive
253,Telefónica,TEF.MC,financial,minor,positive
254,IAG,IAG.MC,policy,minor,positive
254,Air Europa,UX.MC,policy,minor,positive
255,Acciona S.A.,ANA.MC,financial,minor,positive
256,Santander,SAN.MC,financial,major,negative
257,Colonial,COL.MC,demand,minor,negative
258,Banco de Sabadell S.A.,SAB.MC,financial,minor,positive
259,Iberdrola,IBE.MC,demand,minor,positive
260,Aena SME S.A.,AENA.MC,demand,major,negative
261,ACS.MC,ACS.MC,financial,minor,negative
262,Siemens Gamesa,SGRE.MC,demand,minor,positive
263,Cellnex,CLNX.MC,financial,minor,negative
264,Cellnex Telecom S.A.,CLNX.MC,financial,minor,positive
265,Repsol,REP.MC,demand,minor,negative
266,ACS,ACS.MC,supply,minor,negative
267,ACS,ACS.MC,supply,major,negative
268,ACS,ACS.MC,demand,minor,positive
269,Siemens Gamesa Renewable Energy SA,SGRE.MC,supply,minor,positive
270,Siemens Gamesa Renewable Energy SA,SGRE.MC,demand,major,positive
271,Telefónica SA,TEF.MC,financial,minor,positive
272,Siemens Gamesa,SGRE.MC,technology,minor,positive
273,Naturgy Energy Group SA,NTGY.MC,financial,minor,positive
274,Iberdrola,IBE.MC,supply,minor,positive
275,Ferrovial,FER.MC,demand,minor,negative
276,Aena,AENA.MC,financial,minor,positive
277,Naturgy,NTGY.MC,demand,minor,positive
278,Bankia SA,BKIA.MC,financial,minor,positive
279,Iberdrola,IBE.MC,financial,major,positive
280,AENA.MC,AENA.MC,demand,minor,positive
281,MásMóvil,MAS.MC,financial,major,negative
282,MásMóvil,MAS.MC,supply,minor,positive
283,Banco Bilbao Vizcaya Argentaria S.A. (BBVA.MC),BBVA.MC,financial,minor,negative
284,Iberdrola,IBE.MC,supply,minor,positive
285,Telefónica,TEF.MC,financial,minor,negative
285,BBVA,BBVA.MC,financial,minor,negative
286,Banco Santander SA,SAN.MC,financial,minor,positive
287,Siemens Gamesa,SGRE.MC,demand,minor,positive
288,Telefónica,TEF.MC,financial,major,negative
289,Siemens Gamesa Renewable Energy SA,SGRE.MC,demand,major,positive
290,Siemens Gamesa Renewable Energy SA,SGRE.MC,financial,minor,positive
291,Fomento de Construcciones y Contratas S.A.,FCC.MC,financial,minor,positive
291,Banco Santander S.A.,SAN.MC,financial,minor,positive
292,Siemens Gamesa,SGRE.MC,financial,minor,negative
293,Siemens Gamesa,SGRE.MC,supply,minor,negative
294,Siemens Gamesa,SGRE.MC,financial,minor,negative
295,Siemens Gamesa,SGRE.MC,supply,minor,negative
296,Iberdrola,IBE.MC,financial,minor,positive
297,Aena SME SA,AENA.MC,demand,major,negative
298,IAG,IAG.MC,demand,major,positive
299,BBVA,BBVA.MC,policy,minor,positive
300,Repsol SA,REP.MC,supply,major,negative
301,Siemens Gamesa Renewable Energy SA,SGRE.MC,demand,minor,positive
302,Banco Sabadell,SAB.MC,financial,minor,negative
303,Inditex,ITX.MC,financial,minor,negative
304,Amadeus,AMS.MC,financial,minor,positive
305,Siemens Gamesa Renewable Energy SA,SGRE.MC,supply,minor,positive
306,Siemens Gamesa,SGRE.MC,demand,minor,positive
307,Banco Sabadell,SAB.MC,financial,minor,positive
308,Telefónica SA,TEF.MC,financial,minor,negative
308,Banco Bilbao Vizcaya Argentaria SA,BBVA.MC,financial,minor,negative
309,Cellnex,CLNX.MC,demand,minor,positive
310,Siemens Gamesa,SGRE.MC,financial,minor,positive
311,Iberdrola,IBE.MC,policy,minor,positive
311,Indra Sistemas,IDR.MC,policy,minor,positive
311,Banco Santander,SAN.MC,policy,minor,positive
312,Banco Bilbao Vizcaya Argentaria SA,BBVA.MC,financial,major,positive
312,Telefónica SA,TEF.MC,technology,major,positive
312,Banco Santander SA,SAN.MC,financial,major,positive
314,CaixaBank,CABK.MC,financial,minor,positive
314,Bankia,BKIA.MC,financial,minor,positive
315,Bankia SA,BKIA.MC,financial,minor,positive
315,CaixaBank SA,CABK.MC,financial,minor,positive
316,Bankia,BKIA.MC,financial,minor,positive
316,CaixaBank,CABK.MC,financial,minor,positive
317,Bankia,BKIA.MC,financial,minor,positive
317,CaixaBank,CBK.MC,financial,minor,positive
318,Telefónica,TEF.MC,policy,minor,negative
319,Naturgy Energy Group SA,NTGY.MC,demand,minor,positive
320,Bankia,BKIA.MC,financial,minor,positive
320,CaixaBank,CABK.MC,financial,minor,positive
321,CaixaBank,CABK.MC,financial,minor,positive
321,Bankia,BKIA.MC,financial,minor,positive
322,CaixaBank,CABK.MC,financial,minor,positive
322,Bankia,BKIA.MC,financial,minor,positive
323,Cellnex,CLNX.MC,financial,minor,positive
324,Bankia,BKIA.MC,policy,minor,positive
324,CaixaBank,CABK.MC,policy,minor,positive
325,Bankia,BKIA.MC,financial,major,positive
325,CaixaBank,CABK.MC,financial,major,positive
326,Telefónica,TEF.MC,financial,minor,negative
327,CaixaBank,CABK.MC,financial,minor,positive
327,Bankia,BKIA.MC,financial,minor,positive
328,CaixaBank SA,CABK.MC,financial,major,positive
328,Bankia SA,BKIA.MC,financial,major,positive
329,Bankia,BKIA.MC,financial,minor,positive
329,CaixaBank,CABK.MC,financial,minor,positive
330,Grifols SA,GRF.MC,financial,major,positive
331,Siemens Gamesa,SGRE.MC,financial,minor,positive
332,Banco Santander SA,SAN.MC,financial,minor,negative
332,Banco Bilbao Vizcaya Argentaria SA,BBVA.MC,financial,minor,negative
332,Bankia SA,BKIA.MC,financial,major,negative
332,CaixaBank SA,CABK.MC,financial,minor,positive
333,Bankia,BKIA.MC,financial,minor,positive
333,CaixaBank,CABK.MC,financial,minor,positive
334,Iberia,IAG.MC,financial,major,positive
334,Globalia,GLB.MC,financial,minor,negative
334,International Consolidated Airlines Group S.A.,IAG.MC,financial,major,negative
335,CaixaBank SA,CABK.MC,financial,minor,positive
335,Bankia SA,BKIA.MC,financial,minor,negative
336,CaixaBank SA,CABK.MC,financial,minor,positive
336,Bankia SA,BKIA.MC,financial,minor,positive
337,Telefónica,TEF.MC,financial,major,positive
338,Naturgy Energy Group S.A.,NTGY.MC,supply,minor,positive
339,Telefónica,TEF.MC,demand,minor,positive
340,CaixaBank SA,CABK.MC,financial,minor,positive
340,Bankia SA,BKIA.MC,financial,minor,positive
341,CaixaBank,CABK.MC,financial,minor,positive
341,Bankia,BKIA.MC,financial,minor,positive
342,CaixaBank,CABK.MC,financial,minor,positive
342,Bankia,BKIA.MC,financial,minor,positive
343,Ferrovial,FER.MC,demand,minor,negative
344,Telefónica SA (TEF.MC),TEF.MC,supply,minor,positive
345,Unicaja,UNI.MC,financial,minor,positive
345,Liberbank,LBK.MC,financial,minor,positive
345,Sabadell,SAB.MC,financial,minor,positive
345,CaixaBank,CABK.MC,financial,minor,positive
345,Bankia,BKIA.MC,financial,minor,positive
346,Solaria,SLR.MC,financial,minor,positive
346,Pharma Mar,PHM.MC,financial,minor,positive
347,Iberdrola,IBE.MC,demand,major,positive
348,Cellnex,CLNX.MC,financial,minor,positive
349,IAG,IAG.MC,financial,minor,positive
350,IAG,IAG.MC,financial,minor,positive
351,IAG,IAG.MC,financial,minor,negative
352,IAG,IAG.MC,demand,major,negative
352,Iberia,IBE.MC,demand,major,negative
353,Banco de Sabadell SA,SAB.MC,policy,minor,positive
353,CaixaBank SA,CABK.MC,policy,minor,positive
353,Bankia SA,BKIA.MC,policy,minor,positive
353,Banco Santander SA,SAN.MC,policy,minor,positive
354,MásMóvil Ibercom SA,MAS.MC,policy,minor,negative
354,Pharma Mar SA,PHM.MC,policy,minor,positive
354,Ence Energía y Celulosa SA,ENC.MC,policy,minor,negative
355,Másmóvil,MAS.MC,financial,major,positive
356,IAG,IAG.MC,financial,minor,negative
357,Bankia,BKIA.MC,financial,minor,negative
357,CaixaBank,CABK.MC,financial,minor,negative
358,Siemens Gamesa,SGRE.MC,supply,minor,positive
359,Aena SME S.A.,AENA.MC,supply,major,negative
360,IAG,IAG.MC,financial,minor,positive
361,Grifols,GRF.MC,demand,minor,positive
362,IAG,IAG.MC,financial,minor,positive
363,Ferrovial SA,FER.MC,financial,minor,positive
364,Ferrovial S.A.,FER.MC,demand,minor,negative
364,Renfe,REN.MC,policy,minor,positive
365,Banco Sabadell,SAB.MC,financial,minor,negative
365,Bankia,BKIA.MC,financial,minor,positive
365,CaixaBank,CABK.MC,financial,minor,positive
366,CaixaBank,CABK.MC,financial,minor,positive
366,Bankia,BKIA.MC,financial,minor,negative
367,Endesa SA,ELE.MC,supply,minor,positive
368,IAG,IAG.MC,financial,minor,positive
369,Naturgy,NTGY.MC,financial,minor,positive
370,Enagás,ENG.MC,financial,minor,positive
371,Iberdrola,IBE.MC,demand,minor,positive
372,Inditex,ITX.MC,demand,minor,positive
373,Iberia,IAG.MC,demand,minor,negative
373,Amadeus,AMS.MC,demand,minor,negative
374,CaixaBank,CABK.MC,financial,major,positive
374,Bankia,BKIA.MC,financial,major,positive
375,Inditex,ITX.MC,demand,major,negative
376,CaixaBank,CABK.MC,financial,minor,negative
376,Bankia,BKIA.MC,financial,minor,positive
377,Bankia,BKIA.MC,financial,minor,positive
378,Industria de Diseño Textil SA,ITX.MC,demand,minor,positive
379,Bankia SA,BKIA.MC,policy,minor,positive
379,CaixaBank SA,CABK.MC,policy,minor,positive
380,Inditex,ITX.MC,financial,minor,positive
381,Repsol SA (REP.MC),REP.MC,policy,major,positive
382,ACS,ACS.MC,policy,minor,positive
383,Telefónica S.A.,TEF.MC,technology,major,positive
384,Iberdrola,IBE.MC,supply,minor,positive
385,Inditex,ITX.MC,demand,minor,positive
386,Sabadell (SAB.MC),SAB.MC,financial,minor,negative
386,Santander (SAN.MC),SAN.MC,financial,minor,negative
386,BBVA (BBVA.MC),BBVA.MC,financial,minor,negative
387,CaixaBank,CABK.MC,financial,minor,positive
387,Bankia,BKIA.MC,financial,minor,positive
388,Inditex,ITX.MC,demand,minor,positive
389,Unicaja,UNI.MC,financial,minor,positive
389,Liberbank,LBK.MC,financial,minor,positive
390,Inditex,ITX.MC,demand,minor,positive
391,Naturgy,NTGY.MC,financial,minor,negative
392,Bankia,BKIA.MC,financial,minor,positive
392,Intesa Sanpaolo,ISP.MC,financial,minor,positive
392,CaixaBank,CABK.MC,financial,minor,positive
393,Repsol SA,REP.MC,policy,minor,positive
393,Enagás SA,ENG.MC,policy,minor,positive
393,Telefónica SA,TEF.MC,policy,minor,positive
394,Amadeus IT Group SA,AMS.MC,financial,minor,positive
395,CaixaBank SA,CABK.MC,financial,major,positive
395,Bankia SA,BKIA.MC,financial,major,positive
396,Banco Sabadell,SAB.MC,financial,minor,negative
397,Bankia,BKIA.MC,financial,major,positive
397,CaixaBank,CABK.MC,financial,major,positive
398,CaixaBank S.A.,CABK.MC,financial,minor,positive
398,Bankia S.A.,BKIA.MC,financial,minor,positive
399,CaixaBank,CABK.MC,financial,major,positive
399,Bankia,BKIA.MC,financial,major,negative
400,Bankia,BKIA.MC,financial,minor,positive
400,CaixaBank,CABK.MC,financial,minor,positive
401,Bankia,BKIA.MC,financial,minor,negative
401,CaixaBank,CABK.MC,financial,minor,positive
402,Inditex,ITX.MC,demand,minor,positive
403,Iberdrola,IBE.MC,demand,minor,positive
404,Bankia,BKIA.MC,financial,major,negative
404,CaixaBank,CABK.MC,financial,minor,positive
405,Liberbank,LBK.MC,financial,minor,positive
405,CaixaBank,CABK.MC,financial,minor,positive
405,Bankia,BKIA.MC,financial,minor,positive
405,Unicaja,UNI.MC,financial,minor,positive
405,BBVA,BBVA.MC,financial,minor,positive
405,Banco Santander,SAN.MC,financial,minor,positive
406,CaixaBank,CABK.MC,financial,minor,positive
406,Bankia,BKIA.MC,financial,minor,positive
407,Merlin Properties,MRL.MC,demand,minor,positive
408,Bankia S.A.,BKIA.MC,financial,minor,negative
408,CaixaBank S.A.,CABK.MC,financial,minor,negative
409,CaixaBank,CABK.MC,financial,major,positive
409,Bankia,BKIA.MC,financial,major,positive
410,Bankia,BKIA.MC,financial,minor,positive
410,CaixaBank,CABK.MC,financial,minor,positive
411,CaixaBank,CABK.MC,financial,minor,positive
411,Bankia,BKIA.MC,financial,minor,positive
412,Pharma Mar,PHM.MC,financial,minor,negative
413,CaixaBank,CABK.MC,financial,minor,positive
413,Bankia,BKIA.MC,financial,minor,positive
414,Iberdrola,IBE.MC,technology,major,positive
415,Banco Santander SA,SAN.MC,financial,minor,positive
416,ACS,ACS.MC,supply,major,positive
417,Repsol,REP.MC,policy,minor,negative
418,Banco Santander,SAN.MC,financial,minor,positive
419,Banco Santander,SAN.MC,financial,minor,positive
420,Liberbank SA,LBK.MC,financial,minor,negative
