publ_datetime,articles,tickers
2020-06-26 07:57:48.770,"Consorcio Ferrovial gana concurso de obras en metro de Oporto por EUR288m. LISBOA El consorcio hispanoluso formado por Ferrovial SA (FER.MC) y ACA ha ganado el concurso para la ejecución de las obras del metro de Oporto, adjudicadas en EUR287,9 millones.

Según un comunicado divulgado el jueves por la entidad adjudicataria, Metro do Porto, las obras comenzarán en el segundo semestre de este 2020 y se prolongarán hasta 2023.. El consorcio, liderado por la española Ferrovial, ha sido adjudicatario de la construcción de una línea circular por valor de EUR189 millones y de la prolongación de la denominada ""Línea Amarilla"" del metro de Oporto por EUR98,9 millones.

La obra de la línea circular recibió 6 ofertas y la prolongación de la ""Línea Amarilla"" tuvo una concurrencia de 9 candidatos.

En los próximos días será la adjudicación oficial, por lo que en breve podrán comenzar las obras. 


 
 ",['FER.MC']
2020-06-26 11:08:57.483,"Autopistas de Ferrovial se recuperarán relativamente rápido -UBS.  UBS espera que las autopistas de Ferrovial (FER.MC) se recuperen relativamente rápido y considera que el valor está bien posicionado en un entorno de alta incertidumbre. ""Hay un impacto en el dato de tráfico importante por el Covid-19, pero el sector está mostrando que el tráfico de autopistas se está recuperando más rápido que otros activos (especialmente aeropuertos) a medida que se levantan las cuarentenas"", apunta en un informe. Sin embargo, el banco también advierte de que se mantiene la incertidumbre sobre cómo afectará la evolución macroeconómica a las autopistas de pago en el corto plazo, además del posible impacto del teletrabajo, y no prevé que se recuperen por completo los niveles de tráfico hasta 2023. UBS mantiene su recomendación y reduce el precio objetivo a EUR25,7 desde EUR27,7 debido a que, después de la buena evolución del valor, ya no ve mucho potencial al alza, explica. La acción de Ferrovial sube un 0,2% a EUR24,66..  

",['FER.MC']
2020-06-26 12:30:05.176,"Iberdrola, Endesa y Siemens Gamesa tienen ""buenas perspectivas"".  Siemens Gamesa (SGRE.MC), Iberdrola (IBE.MC) y Endesa (ELE.MC) presentan ""buenas perspectivas a medio plazo"" dentro del sector eléctrico, indica Ismael de la Cruz, analista de Investing.com. ""La descarbonización despeja las nubes en el horizonte inversor de las eléctricas"", señala el analista. Sobre Siemens Gamesa, el experto destaca que las medidas de los países para mitigar los efectos del coronavirus pasan por impulsar las energías renovables, y eso ""es bastante interesante"" para la empresa. Respecto a Iberdrola, considera que ""tendrá un papel relevante en la transición ecológica europea"" con el Pacto Verde europeo, mientras que sobre Endesa, el analista enfatiza que ""el dividendo es uno de sus atractivos"". La acción de Siemens Gamesa sube un 1,4% a EUR15,58, la de Iberdrola avanza un 0,8% a EUR10,20 y la de Endesa suma un 1,3% a EUR22,73. 

","['IBE.MC', 'SGRE.MC', 'ELE.MC']"
2020-06-26 12:40:23.819,"Sector turismo sufrirá situación muy difícil tras verano -Director operaciones Meliá.  El director general de operaciones de Meliá Hotels International SA (MEL.MC), André Philippe Gerondeau, señaló el viernes que el sector turístico global atravesará ""momentos verdaderamente complicados"" después de una temporada de verano, que espera que sea corta.

Durante una sesión organizada por la Asociación de Directivos y Ejecutivos de Aragón, AEDA, el directivo explicó que a la incertidumbre por el coronavirus que se experimentará durante los meses veraniegos, se sumarán posteriormente los efectos de la recesión económica que ha provocado la pandemia.. ""Tenemos una situación que rápidamente se integrará con la otra"", dijo el directivo. ""Habrá mucha gente que quiera viajar, pero que no pueda [permitírselo]"", agregó.

Gerondeau también aseguró que el sector experimentará un valle de actividad durante 18 ó 24 meses si se tienen en cuenta las previsiones de caídas de tráfico aéreo de la Asociación Internacional del Transporte Aéreo --o IATA, por sus siglas en inglés--.

Respecto a este verano, Gerondeau detalló que julio será más complicado y en el caso de agosto Meliá cuenta con un ritmo de reservas del 50% respecto a lo habitual en otros años.

En España, la compañía espera que el principal mercado sea de clientes nacionales, al igual que ocurre con otros países, apuntó. Por ello, su estrategia de promoción está siendo ""microsegmentar"" las campañas para dirigirse al turismo nacional de cada país, añadió.

",['MEL.MC']
2020-06-26 15:02:04.876,"Gobierno español analiza ""todos los instrumentos"" para dar viabilidad aerolíneas.  El Gobierno español trabaja con todo el sector empresarial, y también está al habla con Iberia, para analizar ""todos los instrumentos"" para dar viabilidad a las aerolíneas, explicó el viernes la ministra portavoz, María Jesús Montero, en la rueda de prensa posterior al Consejo de Ministros.

Se trata, dijo, de apoyar ""una de las lanzaderas"" del desarrollo económico, como es el transporte aéreo, que a su vez impulsa el turismo y la creación de riqueza y progreso que conlleva.. El ministro de Transportes, Movilidad y Agenda Urbana, José Luis Ábalos, señaló este jueves que España prepara un paquete de ayudas a las aerolíneas para paliar el impacto de la peor crisis de la historia de la aviación, una vez que se constató que las líneas del Instituto de Crédito Oficial fueron ""insuficientes"".

Se trata de que las compañías aéreas puedan hacer frente a sus problemas de liquidez y complementar la financiación que han recibido a través de los avales del ICO.

Iberia y Vueling, integradas en el grupo hispano británico IAG (IAG.MC), firmaron a principio de mayo sendos contratos de financiación sindicada avalada por el ICO con EUR750 millones y EUR260 millones, respectivamente.

",['IAG.MC']
2020-06-26 17:39:04.302,"Abengoa comunica que no puede afrontar las nóminas del mes en su totalidad -Ftes.  Abengoa SA (ABG.MC) ha comunicado a sus trabajadores que no podrá pagar las nóminas de junio en su totalidad ante la situación de la compañía, que negocia con la banca para buscar una solución que permita a la compañía recibir EUR300 millones antes de finales de julio y evitar el concurso.

Fuentes del mercado confirmaron a Efe la existencia de dicha comunicación interna remitida por la dirección de la multinacional sevillana, que a cierre de 2019 contaba con más de 14.000 empleados en todo el mundo y había aumentado sus ventas un 15% en tasa interanual, hasta EUR1.493 millones.. Además, gracias a que su resultado de explotación, o Ebitda, había crecido un 60%, hasta EUR300 millones, sus pérdidas se redujeron un 65,5%, a EUR517 millones.

No obstante, la empresa arrastra problemas desde 2015, cuando evitó la que podría haber sido la mayor quiebra de España, tras renegociar su deuda, próxima entonces a los EUR9.000 millones, que ha refinanciado varias veces y ha conseguido reducir con la ayuda de la venta de activos.

Según los últimos datos, la deuda financiera de Abengoa rozaba los EUR6.000 millones, exactamente EUR5.948 millones, tras crecer un 5% en 2019.

Para paliar esta situación, Abengoa y la banca negocian a contrarreloj una solución que permita a la compañía recibir EUR300 millones y esquivar así, de nuevo, el concurso de acreedores.

Al margen de los avales por esa cantidad, la firma necesitaría otros EUR250 millones en liquidez, según fuentes próximas a la negociación mantiene con sus principales bancos acreedores: Banco Santander SA (SAN.MC), Calyon y Bankia SA (BKIA.MC).

Con todo, el panorama no parece especialmente preocupante porque estas tres entidades estarían dispuestas a seguir apoyando a la multinacional. Sin embargo, al tratarse de la suma de grandes cantidades, la operación sería más fácil si la empresa obtiene el apoyo también del resto de acreedores, entre ellos el propio Estado, a través del Instituto de Crédito Oficial, ICO. La entidad pública podría actuar directamente financiando a la compañía, al igual que ha participado en otros préstamos a grandes empresas, o bien como garantía de los créditos que concedan los bancos en el marco de la línea de avales de hasta EUR100.000 millones.

Fuentes de la propia Abengoa reconocieron hace unos días estar inmersos en negociaciones para recabar el apoyo público no sólo del ICO sino también de Cesce, la compañía que gestiona el seguro de crédito a la exportación por cuenta del Estado y aporta soluciones para la gestión del crédito comercial.

","['SAN.MC', 'ABG.MC', 'BKIA.MC']"
2020-06-26 18:43:52.573,"Santander amortiza anticipadamente EUR500 millones en cédulas territoriales.  Banco Santander S.A. (SAN.MC) quiere amortizar anticipadamente EUR500 millones en cédulas territoriales, títulos respaldados por préstamos y créditos concedidos al sector público, según informó el viernes a la Comisión Nacional del Mercado de Valores.

La entidad recuerda que a principios de junio emitió EUR2.500 millones en cédulas territoriales a siete años pero ahora su intención es proceder el próximo 30 de junio a amortizar y cancelar parcialmente de esa emisión.. La amortización y cancelación parcial se hará mediante la cancelación anticipada de 5.000 cédulas territoriales de EUR100.000 de valor nominal cada una de ellas.

Una vez amortizada y cancelada la emisión parcialmente el importe total de la emisión pendiente de amortización será EUR2.000 millones.

",['SAN.MC']
2020-06-29 08:39:35.595,"Iberdrola aumenta su oferta por australiana Infigen a EUR533m.  Iberdrola SA (IBE.MC) anunció el lunes que ha elevado la oferta pública de adquisición que presentó a mediados de este mes por el grupo de energías renovables Infigen Energy (IFN.AU) a EUR533 millones, desde los EUR510,2 millones iniciales.

En un comunicado enviado a la Comisión Nacional del Mercado de Valores, la compañía detalló que esto supone aumentar el precio de la oferta a 0,89 dólares australianos (EUR0,545), por cada valor vinculado de Infigen, desde los 0,86 dólares australianos (EUR0,527), que ofreció en un principio.. La eléctrica española señaló previamente este mes que la oferta está condicionada a que su filial en Australia obtenga una participación de más del 50% de la compañía australiana.

La nueva oferta se presentó después de que UAC Energy Holdings, una compañía australiana propiedad de AC Energy Group y UPC Renewables Australia que ya tiene el 12,82% de Infigen, anunciara el lunes que ha elevado su propia oferta a 0,86 dólares australianos, desde los 0,8 dólares australianos previos, igualando el precio inicial propuesto por Iberdrola.

La acción de Iberdrola cerró el viernes a EUR10,04.



",['IBE.MC']
2020-06-29 10:24:27.994,"Opa mejorada de Iberdrola sobre Infigen ""tiene sentido estratégico"".  La oferta pública de adquisición mejorada de Iberdrola (IBE.MC) por el grupo de energías renovables australiano Infigen Energy (IFN.AU) --a EUR533 millones desde los EUR510,2 millones iniciales-- sigue teniendo sentido ""estratégica y financieramente"" para la empresa española, indica Bankinter en una nota de análisis. El banco recuerda que la operación haría de Iberdrola ""el líder de renovables en Australia con una potencia operativa conjunta de más de 1.000 megavatios"" y que la operación de compra, que la eléctrica elevó tras igualar su anterior oferta el grupo rival UAC Energy, sigue siendo pequeña para Iberdrola, ya que representa un 0,82% de su capitalización bursátil. ""La incertidumbre es la capacidad de UAC Energy para continuar presionando por la compañía"", comenta Bankinter, que recomienda comprar y tiene un precio objetivo de EUR11. La acción de Iberdrola cotiza plana en EUR10,04. 

",['IBE.MC']
2020-06-30 08:26:34.721,"Ferrovial cierra la venta de Broadspectrum a Ventia por EUR291m.  Ferrovial SA (FER.MC) anunció el martes que ha cerrado la venta de Broadspectrum, su negocio de servicios en Australia y Nueva Zelanda, a Ventia Services Group Pty Limited por EUR291 millones.

En un comunicado enviado a la Comisión Nacional del Mercado de Valores, la compañía señaló que este precio no incluye el valor de una participación del 50% que tiene Ferrovial en una sociedad conjunta con un socio local y por la que Ventia ha presentado una oferta irrevocable de compra de EUR12 millones. Para ambas cifras se ha realizado un ajuste positivo de coberturas de tipos de cambio de EUR5 millones, agregó.. Ferrovial indicó que el cierre de la operación, cuyo acuerdo se anunció el pasado diciembre, tendrá un impacto negativo estimado en sus resultados de EUR75 millones.

La acción de Ferrovial cerró el lunes a EUR23,97.

",['FER.MC']
2020-06-30 08:39:15.480,"Siemens Gamesa recibe pedido de 140 turbinas de Vatenfall para parque eólico holandés.  Siemens Gamesa Renewable Energy S.A. (SGRE.MC) anunció el martes que ha recibido un pedido en firme de Vattenfall Group (VTF.YY) para suministrar 140 turbinas al parque eólico holandés Hollandse Kust Zuid, con una capacidad de 1,5 gigavatios.

En un comunicado enviado a la Comisión Nacional del Mercado de Valores, la compañía señaló que los aerogeneradores SG 11.0-200 DD encargados se comenzarán a instalar en 2022 y se espera que el proyecto esté operativo por completo en 2023.. La acción de Siemens Gamesa cerró el lunes a EUR15,68.

",['SGRE.MC']
2020-06-30 08:53:39.909,"Iberdrola renuncia a casi todas las condiciones de la oferta por Infigen.  Iberdrola SA (IBE.MC) anunció el martes que ha renunciado a las condiciones inicialmente impuestas en su oferta pública de adquisición por Infigen Energy (IFN.AU), con la excepción de hacerse con una participación superior al 50% del capital social de la compañía australiana.

En un comunicado enviado a la Comisión Nacional del Mercado de Valores, la compañía señaló que la transacción también está sujeta a la aprobación del regulador australiano, el Foreign Investment Review Board.. Iberdrola anunció el lunes que había elevado su oferta por el grupo de energías renovables a EUR533 millones, desde los EUR510,2 millones iniciales, después de que UAC Energy Holdings igualará el precio de la primera propuesta que había presentado la española.

La acción de Iberdrola cerró el lunes a EUR10,18.

",['IBE.MC']
2020-06-30 10:34:59.529,"Iberdrola puede mejorar oferta en ""guerra de opas"" por Infigen.  Iberdrola (IBE.MC) ""tiene aún margen para mejorar su oferta"" en la ""guerra por el control"" de Infigen Energy (IFN.AU), indica el martes Bankinter en una nota de análisis. La eléctrica española anunció el lunes que elevó el precio de la propuesta por la empresa de renovables australiana a EUR533 millones desde los EUR510 millones anteriores para responder a la oferta rival de UAC Energy Holding. ""Se abre así una guerra de opas y contraopas en la que Iberdrola seguirá pujando por el control de Infigen"", señala Bankinter, que apunta a que la legislación australiana permite un número ilimitado de mejoras en el precio mientras dure el plazo de aceptación. El banco español reiteró que la operación tiene sentido estratégico para Iberdrola, porque la convertiriía en el líder de renovables en Australia con 1.000 megavatios de potencia. Bankinter recomienda comprar, con un precio objetivo de EUR11. La acción sube un 1,3% a EUR10,31.. ",['IBE.MC']
2020-06-30 15:35:27.169,"Colonial prevé por ahora impacto del 2% en sus rentas por coronavirus -CEO.  Inmobiliaria Colonial SOCIMI SA (COL.MC) anticipa por el momento un impacto del 2% en las rentas que ingresará este año debido a los efectos de la pandemia de coronavirus, según señaló el martes el consejero delegado de la compañía, Pere Viñolas.

En una rueda de prensa tras la junta de accionistas, el ejecutivo explicó que prácticamente han concluido las negociaciones de descuentos y bonificaciones que el grupo inició con los clientes afectados por el Covid-19 y, en base a las condiciones pactadas, se prevé que este proceso lastre un 2% las rentas de este año si no se produce nada extraordinario en lo que queda de ejercicio.. Este efecto en los ingresos quedaría en la parte baja de la previsión de un impacto de entre el 2% y el 6% que Colonial había comunicado anteriormente.

Además, Viñolas destacó que desde que comenzó la crisis de la pandemia en marzo, la compañía no ha experimentado impagos significativos de rentas.

Asimismo, el consejero delegado señaló que Colonial tendrá en 2020 un perfil ""más desinversor que inversor, pero sin un objetivo concreto"" y reiteró que no se prevé un gran impacto por el auge del teletrabajo, después de que los confinamientos ordenados para contener la propagación del coronavirus obligaran a cerrar oficinas y a trabajar desde los domicilios.

En cuanto a la evolución de la compañía, el presidente de Colonial, Juan José Bruguera, señaló durante la junta de accionistas que espera que los resultados del primer semestre, que se presentarán el mes que viene, se mantengan en la línea de las cuentas de los tres primeros meses del año, pese a los efectos del coronavirus.

""Creemos que la resiliencia de nuestro modelo de compañía es alta, persistiremos en nuestra estrategia y a estas alturas del primer semestre los datos que ofreceremos en breve convencerán sobre la resistencia de nuestro modelo"", agregó.

A las 1334 , la acción de Colonial baja un 1,3% a EUR7,84.

",['COL.MC']
2020-06-30 18:36:58.521,"Aena cancela la propuesta de dividendo de 2019 para preservar liquidez.  Aena SME SA (AENA.MC) anunció el martes que canceló la propuesta de dividendo del ejercicio 2019 para fortalecer la solvencia del grupo ante el impacto de la pandemia de Covid-19 en el sector del transporte y el turismo.

En un comunicado remitido a la Comisión Nacional del Mercado de Valores, la empresa controlada mayoritariamente por el Estado español señaló que la decisión se tomó para ""salvaguardar al máximo la liquidez de la sociedad"".. En febrero, un mes antes de que la crisis sanitaria azotara a España, Aena propuso un dividendo bruto de EUR7,58 por acción con cargo a 2019, lo que suponía un 9,4% más que en el año anterior.

Sin embargo, el martes la compañía reconoció que la pandemia tuvo ""un gran impacto en la economía española, muy especialmente en el sector del transporte y turismo y, consecuentemente con ello, en la actividad y liquidez de la sociedad"".

Aena añadió que ahora destinará a reservas EUR1.421 millones del beneficio de 2019 que iba a pagar como dividendo.

En marzo, la compañía anuló sus estimaciones de negocio y trafico aéreo para 2020 a causa del descenso del tráfico aéreo por las cuarentenas asociadas al Covid-19.

La acción de la compañía cerró el martes en EUR118,70.

",['AENA.MC']
